# Energy(eV) minus_pCOHP_up minus_pCOHP_down minus_pCOHP_sum
-1.203007999999999988e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.197995000000000054e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.192981999999999942e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.187969999999999970e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.182957000000000036e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.177945000000000064e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.172931999999999952e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.167919999999999980e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.162907000000000046e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.157895000000000074e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.152881999999999962e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.147869999999999990e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.142857000000000056e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.137845000000000084e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.132831999999999972e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.127820000000000000e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.122807000000000066e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.117793999999999954e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.112781999999999982e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.107769000000000048e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.102757000000000076e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.097743999999999964e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.092731999999999992e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.087719000000000058e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.082707000000000086e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.077693999999999974e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
